alpha_rad,mach,cl,cd
0.17453292519943295,3.5,0.4500,0.2045
0.17453292519943295,5.0,0.4250,0.1700
0.17453292519943295,8.0,0.4000,0.1290
0.17453292519943295,10.0,0.3800,0.1090
0.17453292519943295,15.0,0.3700,0.1090
0.17453292519943295,20.0,0.3600,0.1090
0.17453292519943295,23.0,0.3500,0.1090
0.2617993877991494,3.5,0.7400,0.2960
0.2617993877991494,5.0,0.7000,0.2630
0.2617993877991494,8.0,0.6700,0.2240
0.2617993877991494,10.0,0.6300,0.1970
0.2617993877991494,15.0,0.6000,0.1950
0.2617993877991494,20.0,0.5700,0.1920
0.2617993877991494,23.0,0.5570,0.1920
0.3490658503988659,3.5,1.0500,0.4770
0.3490658503988659,5.0,1.0000,0.4230
0.3490658503988659,8.0,0.9500,0.3540
0.3490658503988659,10.0,0.9000,0.3100
0.3490658503988659,15.0,0.8500,0.3050
0.3490658503988659,20.0,0.8000,0.3000
0.3490658503988659,23.0,0.7800,0.3000
